LEA_STATE,YEAR,gap_var,b1,b2,b3,b4,n_gt1,min,max,n
GA,2013,ENR_AP_GAP_AS,1.24715262,1.272058824,1.276282051,1.885397107,6,0.02425876,5.626818469,110
GA,2013,ENR_AP_GAP_BL,1.540613497,1.945736434,2.415448332,3.664079031,131,0.241090147,8.351648352,140
GA,2013,ENR_AP_GAP_HI,1.262244361,1.444691939,1.726148475,2.29773315,84,0.050867052,10.05302198,132
GA,2015,ENR_AP_GAP_AS,1.040487599,1.084882509,1.276845839,1.404836543,7,0.079840319,1.872397548,127
GA,2015,ENR_AP_GAP_BL,1.69804502,2.126213291,2.466598154,3.446948992,139,0.484,10.75,147
GA,2015,ENR_AP_GAP_HI,1.151552511,1.393242636,1.680697745,1.97001989,109,0.281105991,5.987708347,144
GA,2017,ENR_AP_GAP_AS,1.060600182,1.105437531,1.220271221,1.768126637,10,0.099212598,2.759581882,110
GA,2017,ENR_AP_GAP_BL,1.668769176,2.107521782,2.591948517,3.772450722,114,0.567287785,12.11829026,121
GA,2017,ENR_AP_GAP_HI,1.221972764,1.455949944,1.735990075,2.118277735,96,0.324074074,7.053191489,122
GA,2020,ENR_AP_GAP_AS,1.225645228,1.298675349,1.355322189,1.620738991,8,0.037174721,1.949367089,111
GA,2020,ENR_AP_GAP_BL,1.702437377,2.183456025,2.746065848,4.048517848,115,0.440201005,28.76611418,126
GA,2020,ENR_AP_GAP_HI,1.233661152,1.498668222,1.727112574,2.407551554,95,0.183794466,10.35230999,124
GA,2021,ENR_AP_GAP_AS,1.169964578,1.258635262,1.342762959,1.681086644,10,0.061403509,1.858666667,104
GA,2021,ENR_AP_GAP_BL,1.659606769,2.140117626,2.841550769,4.433396584,108,0.43647541,15.56385069,118
GA,2021,ENR_AP_GAP_HI,1.226490785,1.516765902,1.730755066,2.487006164,94,0.40625,6.009677419,118
HI,2011,ENR_AP_GAP_AS,1.009853684,1.009853684,1.009853684,1.009853684,1,1.009853684,1.009853684,1
HI,2011,ENR_AP_GAP_BL,1.209171355,1.209171355,1.209171355,1.209171355,1,1.209171355,1.209171355,1
HI,2011,ENR_AP_GAP_HI,1.442007857,1.442007857,1.442007857,1.442007857,1,1.442007857,1.442007857,1
HI,2013,ENR_AP_GAP_BL,1.396018187,1.396018187,1.396018187,1.396018187,1,1.396018187,1.396018187,1
HI,2013,ENR_AP_GAP_HI,2.106975424,2.106975424,2.106975424,2.106975424,1,2.106975424,2.106975424,1
HI,2015,ENR_AP_GAP_AS,1.017817925,1.017817925,1.017817925,1.017817925,1,1.017817925,1.017817925,1
HI,2015,ENR_AP_GAP_BL,1.278099827,1.278099827,1.278099827,1.278099827,1,1.278099827,1.278099827,1
HI,2015,ENR_AP_GAP_HI,1.706736825,1.706736825,1.706736825,1.706736825,1,1.706736825,1.706736825,1
HI,2017,ENR_AP_GAP_BL,1.269951338,1.269951338,1.269951338,1.269951338,1,1.269951338,1.269951338,1
HI,2017,ENR_AP_GAP_HI,1.598547124,1.598547124,1.598547124,1.598547124,1,1.598547124,1.598547124,1
HI,2020,ENR_AP_GAP_BL,1.626292075,1.626292075,1.626292075,1.626292075,1,1.626292075,1.626292075,1
HI,2020,ENR_AP_GAP_HI,2.140793396,2.140793396,2.140793396,2.140793396,1,2.140793396,2.140793396,1
HI,2021,ENR_AP_GAP_BL,1.135650356,1.135650356,1.135650356,1.135650356,1,1.135650356,1.135650356,1
HI,2021,ENR_AP_GAP_HI,2.045430036,2.045430036,2.045430036,2.045430036,1,2.045430036,2.045430036,1
IA,2011,ENR_AP_GAP_AS,1.039793634,1.064225079,1.281293817,1.69099985,3,0.013856813,2.100705882,58
IA,2011,ENR_AP_GAP_BL,1.465196964,1.874922098,2.374832846,3.295317014,28,0.044728435,16.25372617,42
IA,2011,ENR_AP_GAP_HI,1.257193501,1.677572774,2.048264793,2.475756415,34,0.0625,4.988974642,63
IA,2013,ENR_AP_GAP_AS,1.112541148,1.314205929,1.868416347,2.09186235,4,0.006793478,2.149926145,55
IA,2013,ENR_AP_GAP_BL,1.671589798,1.966797281,2.310027175,3.057876618,24,0.079069767,5.531906526,40
IA,2013,ENR_AP_GAP_HI,1.271605214,1.67225224,1.842203136,2.103325495,33,0.087837838,6.736842105,58
IA,2015,ENR_AP_GAP_AS,1.027234603,1.093881362,1.256421546,1.4591029,4,0.01754386,1.681854839,62
IA,2015,ENR_AP_GAP_BL,1.529753022,2.194231008,3.002756444,3.567721929,23,0.042016807,8.062185642,44
IA,2015,ENR_AP_GAP_HI,1.222467579,1.504156432,1.734837377,2.246578343,37,0.054404145,6.856164384,74
IA,2017,ENR_AP_GAP_AS,1.113360324,1.305944056,1.33,1.360544218,6,0.009146341,2.306117193,64
IA,2017,ENR_AP_GAP_BL,1.706308065,2.15242668,2.484424844,3.664523035,32,0.146938776,7.621334681,44
IA,2017,ENR_AP_GAP_HI,1.176470588,1.352818372,1.555193328,2.185493515,56,0.051546392,6.36858006,82
IA,2020,ENR_AP_GAP_AS,1.1134476,1.166348859,1.274735956,1.567222222,5,0.03,2.236111111,58
IA,2020,ENR_AP_GAP_BL,1.503865008,1.818181818,2.158465884,2.815295331,36,0.145027624,7.79291498,45
IA,2020,ENR_AP_GAP_HI,1.280574959,1.426554302,1.685680776,2.292915601,59,0.123222749,7.788461538,86
IA,2021,ENR_AP_GAP_AS,1.058282892,1.175159959,1.345658343,1.57424755,9,0.042,4.146110057,62
IA,2021,ENR_AP_GAP_BL,1.715820798,2.158973815,2.43605765,3.433763668,34,0.020304569,5.51800554,52
IA,2021,ENR_AP_GAP_HI,1.189859155,1.565900383,1.84573991,2.332186907,56,0.175438596,3.719664051,79
ID,2011,ENR_AP_GAP_AS,1.060319435,1.136024929,1.271719139,1.680906877,5,0.066423358,2.777777778,22
ID,2011,ENR_AP_GAP_BL,1.244388073,1.446852197,1.454385653,1.799010116,7,0.075107296,2.407449726,15
ID,2011,ENR_AP_GAP_HI,1.507754055,1.964567748,2.383853389,2.910298252,25,0.208955224,7.290322581,31
