"GEOG","LEA_STATE","SCHOOLS","YEAR","ENR","ENR_HS_TOT","STU_TEACH_RAT","ENR_AP","SCH_FTETEACH_TOT","SCH_APCOURSES_TOT","SCH_APCOURSES_MODE","SCH_APCOURSES_MEAN","PCT_ENR_WH","PCT_ENR_BL","PCT_ENR_AS","PCT_ENR_HI","PCT_ENR_OTH","PCT_ENR_NON_WH","PCT_ENR_AP","ENR_AP_GAP_BL","ENR_AP_GAP_AS","ENR_AP_GAP_HI"
"STATE","FL",3982,2020,2764513,855874,16.1651422615529,192124,171016.929840147,7152,1,12.6808510638298,0.364899351169627,0.21682842511502,0.028104769266775,0.351794692229698,0.0430028724769968,0.635100648830373,0.0694965080648924,2.10655940848885,0.515794340417236,1.15696975336237
"STATE","FL",3934,2021,2772796,873270,16.1946642656381,191359,171216.639907956,7393,1,12.7685664939551,0.361612610520211,0.21146921735317,0.0281495645550556,0.354490918192323,0.0442776893792403,0.638387389479789,0.0690130106938989,2.17547493673769,0.523300339900642,1.23402576100006
"STATE","GA",2422,2011,1701201,467122,NA,91417,0,0,NA,NA,0.438574277819023,0.372392797794029,0.0339513085167479,0.120666517360382,0.0344150985098175,0.561425722180977,0.0537367424543014,1.71741286884165,0.480371080415482,1.47128308879496
"STATE","GA",2440,2013,1737492,489619,15.9154887776738,95589,109169.88,0,NA,NA,0.42621145881535,0.370088610479933,0.0355115304128019,0.132476581187136,0.035710668020342,0.57378854118465,0.0550155051073616,1.7842519868164,0.461867437044055,1.45962062890766
"STATE","GA",2407,2015,1769640,513340,15.7225948630084,115363,112553.940072803,0,NA,NA,0.409469157568771,0.369394905178454,0.0378670238014511,0.145101263533826,0.0381676499174973,0.590530842431229,0.0651900951605976,1.78506824792351,0.484060986755739,1.432713019897
"STATE","GA",2416,2017,1772363,520409,15.3658361562253,109059,115344.390111953,4600,1,12.1052631578947,0.396383810765628,0.367245310356851,0.0408505481100655,0.155844485582242,0.0396758451852132,0.603616189234372,0.061533105802818,1.70658801743242,0.435604640725247,1.39308921287177
"STATE","GA",2393,2020,1725285,530504,14.8940277300191,105014,115837.369936049,4944,1,13.4713896457766,0.375163523707677,0.366207901882877,0.0430265144599298,0.170751499027697,0.0448505609218187,0.624836476292323,0.060867624769241,1.72764839781973,0.45241946312659,1.42631865731971
"STATE","GA",2366,2021,1703956,538058,14.5671018229185,102794,116972.890058279,4998,13,13.2222222222222,0.367065229383857,0.364347436201404,0.0452822725469437,0.176138350990284,0.0471667108775109,0.632934770616143,0.0603266751019393,1.88178068912865,0.398339535306906,1.65102285479026
"STATE","HI",286,2011,183441,51598,NA,5082,0,0,NA,NA,0.140895437770182,0.0238387274382499,0.342747804471192,0.0681036409526769,0.424414389367699,0.859104562229818,0.027703730354719,1.20917135529555,1.0098536843298,1.44200785746278
"STATE","HI",287,2013,187541,50738,15.9404509948917,5138,11765.1,0,NA,NA,0.136690110429186,0.0210993862675362,0.319482139905407,0.0974986802885769,0.425229683109293,0.863309889570814,0.027396675926864,1.39601818743654,0.966745581330806,2.1069754242579
